Country,Region,sex,extract_date,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95
England,North East,male,2023-11-01,11608,13134,13439,13531,14478,14872,15245,16122,16098,16177,16671,17111,17098,17036,16548,16726,16230,16149,17026,17060,17446,17014,17391,17952,18502,19470,19978,20104,20159,20040,20505,21311,21315,21399,20560,21116,20883,20399,20385,19291,19202,18811,18658,18814,18657,16773,15323,15996,16460,16745,17157,18423,19856,18877,18988,19319,19279,19687,20140,20053,19630,19649,18601,18059,17955,17269,16899,16203,14871,14855,14641,13716,13426,13119,13286,13349,14779,11650,9607,9684,7947,7060,6010,5863,5560,5028,4354,3737,3116,2579,2054,1735,1240,1018,706,1339
England,North East,persons,2023-11-01,22548,25544,26249,26453,28169,28989,29802,31319,31117,31449,32083,33406,33326,33085,32214,32891,31749,31838,33719,34325,34922,34347,34660,35955,36806,37202,38369,38488,38580,38324,39488,40830,40830,41017,39581,40777,40353,39647,39614,37577,37209,36756,36682,36938,36077,32614,29975,31759,31979,32872,33754,36309,39310,37524,37826,38376,38829,39369,40354,40108,39723,39441,37773,36455,36283,35575,34231,32808,30519,30162,29938,28209,27916,27448,27682,28090,31011,24785,20626,20733,17522,15705,13675,13752,12927,12119,10816,9238,8106,6773,5502,4878,3676,3150,2176,4967
England,North West,female,2023-11-01,33218,38336,39727,39981,42375,43024,44592,46711,46528,47172,48088,49268,49202,48462,47946,48014,46446,45893,46122,47151,46996,47063,49121,51975,53651,53563,54431,54879,54938,55367,56698,58624,59001,59641,58445,59940,58665,57048,57469,55279,54999,54037,52565,53479,50628,46463,44593,45010,45896,47218,47865,51008,53910,52600,53492,53460,52856,53112,54258,53990,52977,52060,50241,47777,46261,44530,43234,41639,39138,38205,38243,36597,36553,36650,36887,37612,42679,33299,28767,29202,26711,24129,20684,20329,19568,17974,16430,14519,12482,10649,8891,7679,6542,5139,3957,9897
England,North West,male,2023-11-01,35313,40375,41255,41957,44287,45268,47165,49034,49218,49484,50180,51739,51334,51200,50481,50854,49425,48812,48049,47944,47616,47163,48803,50646,52891,55084,56801,55851,57123,57987,58907,60679,62121,62719,60850,61701,61253,59754,60521,58295,58259,57140,56525,56921,55078,49738,47926,49010,49980,50666,51356,54061,56982,55550,56107,55718,55232,55063,55654,56168,54233,52925,50728,48685,46316,44363,42947,40537,37703,37007,37075,34810,34221,33942,34343,34576,38546,29437,24923,25260,22469,19564,16386,15511,14684,13245,11504,9769,8255,6502,5127,4325,3380,2520,1706,3625
England,North West,persons,2023-11-01,68635,78718,81013,81918,86695,88293,91804,95732,95741,96646,98258,101033,100535,99636,98534,98839,95880,94654,94200,95144,94588,94226,98075,102647,106468,108528,111195,110796,112029,113354,115618,119321,121138,122478,119314,121585,119909,116660,117967,113485,113257,111211,109065,110432,105697,96056,92594,94058,95870,97903,99210,105063,110875,108186,109549,109171,108109,108147,109915,110150,107257,105025,100990,96469,92579,88901,86160,82212,76812,75163,75592,71609,70673,70594,71242,72253,81167,62749,53703,54456,49218,43689,37058,35811,34303,31222,27955,24293,20741,17193,14008,11991,9924,7663,5664,13528
England,South East,female,2023-11-01,40036,45767,48096,48799,50597,52767,54071,56746,57296,57619,58557,61474,61296,61510,60180,60990,59890,57924,55085,53269,52261,51661,55808,59281,61740,59593,61055,60848,61774,63446,65346,68784,69916,72430,71469,73427,72032,71232,71401,69457,70062,69731,70030,71290,68726,64338,62079,62596,62956,64376,64897,66877,69266,66730,67417,68699,68201,67806,67985,67774,66011,63705,61120,59050,57057,55332,53255,50855,48942,48542,48258,46445,46608,46706,48710,49963,56332,47244,39613,40356,36790,33127,26583,27087,26843,24882,22324,20125,17802,15759,13442,12088,10088,8533,6611,17334
England,South East,male,2023-11-01,41880,48008,50574,51275,53632,55854,56698,59716,59790,60674,61671,65122,65109,64419,63594,64023,63315,61461,58870,56394,54773,53088,55937,58125,60977,62224,62492,61899,63308,64890,65232,68843,69412,71407,71534,73695,73176,71132,72512,70188,70975,71407,71649,73272,71143,67157,64450,64567,65881,67376,66690,68971,70812,68469,68784,69427,69322,68805,69782,69058,66505,63808,61503,58641,56886,53992,51904,49422,46201,45814,44453,42563,42143,41431,42374,43899,49593,40897,33982,34282,30544,26808,21337,21028,20260,18159,16049,14347,11936,10031,8137,6840,5546,4198,3066,6436
England,South East,persons,2023-11-01,81889,93756,98718,100050,104247,108635,110762,116474,117017,118332,120257,126623,126319,125929,123714,124979,123181,119456,113897,109767,107086,104927,111616,117507,122732,121890,123461,122837,125234,128326,130602,137622,139235,143892,143012,147084,145224,142415,143955,139580,140986,141203,141660,144583,139869,131497,126544,127148,128864,131782,131587,135873,140100,135343,136089,138017,137461,136699,137738,136851,132487,127522,122739,117688,113998,109314,105169,100164,95195,94331,92742,89050,88622,88275,91032,94047,105880,88215,73588,74612,67347,59930,47982,48065,47102,43054,38381,34502,29736,25760,21579,18902,15635,12763,9673,23779
England,South West,female,2023-11-01,21605,24253,26207,26261,27689,28698,29796,31178,31420,32380,32777,33979,34621,33993,33672,34278,33348,32736,33584,34615,35345,33853,33867,35085,35913,35373,35948,36263,36421,37794,38437,39690,40180,41232,40210,41507,40614,39605,39776,38703,38029,38092,38023,38618,36935,34693,33440,34231,34651,36413,37162,39324,41435,40440,41568,41432,42582,43415,43640,43800,42711,41739,40611,39183,38448,37414,36097,34946,33286,34159,34346,32910,32765,32824,33719,35185,39080,32269,27709,28533,25593,22939,19054,18617,17991,16658,15189,13499,12152,10579,9252,8062,6847,5644,4477,11639
England,South West,male,2023-11-01,22430,26030,27528,27293,29460,30237,31374,32932,33093,33641,34347,36466,35945,35896,34982,35582,34795,33801,33787,34029,34671,33701,33888,34894,35871,37026,37866,37308,37352,38799,39096,40105,40728,41258,40713,41461,40596,39916,39628,38656,38907,38742,38591,39290,37989,35264,33919,34246,35126,36450,37777,39202,41267,40023,41577,41126,41993,42539,43110,43158,42070,41196,39552,38636,37463,35940,34837,33708,31829,31456,31400,29988,30329,29869,30968,31166,35734,28935,24582,24647,22220,19602,15317,14895,14203,12780,11389,9882,8372,6845,5666,4730,3691,2942,2121,4301
England,South West,persons,2023-11-01,44131,50298,53753,53526,57178,58907,61172,64080,64521,66028,67109,70430,70519,69931,68671,69892,68134,66556,67323,68716,69953,67642,67710,69960,71781,72406,73845,73506,73798,76591,77499,79774,80962,82559,80931,82969,81198,79513,79402,77393,76960,76834,76584,77898,74943,69882,67378,68468,69736,72896,74932,78491,82711,80427,83146,82572,84532,85965,86727,86977,84753,82943,80202,77795,75903,73363,70931,68567,65094,65572,65862,62847,63049,62760,64713,66389,74819,61230,52231,53218,47799,42528,34417,33532,32192,29437,26581,23378,20517,17473,14901,12789,10531,8591,6600,15952
England,West Midlands,female,2023-11-01,28009,32086,32643,33683,34968,36114,37522,38726,38221,39319,39925,41164,41347,39910,39718,40235,39132,38021,37776,37448,36537,36792,39538,40783,41865,41965,42445,43086,43074,44050,44745,46172,46630,47463,47127,47445,46996,45918,45508,43902,43793,43384,42068,43485,41365,37033,36173,36834,36813,37683,38340,40169,42853,42162,42395,42449,41953,41788,42418,41520,40303,39711,38361,36372,34963,34036,33158,31922,30285,30263,30319,29018,28716,28774,29212,29618,32141,26834,23970,25132,22817,20333,17130,16612,15941,15085,13658,12267,10684,8906,7694,6824,5801,4722,3598,8874
England,West Midlands,male,2023-11-01,29908,33581,34319,35113,36925,37826,38966,40556,40420,41261,42384,43387,43063,42361,41871,42420,41186,40152,40218,39830,39326,38887,39953,41536,42892,42991,44665,44583,44714,45322,46394,47795,49052,50541,49014,49738,48940,48226,48373,46792,46398,46009,45015,46487,44221,40913,39578,39961,40680,41176,41905,43492,45280,44817,45217,44874,44089,43803,42694,42569,41389,40442,38900,36973,35405,34351,32427,31013,29434,29037,28750,27486,26428,26319,26803,26734,28749,23653,20860,21464,19315,16950,13632,12926,12605,11232,9918,8517,7102,5773,4648,3774,3050,2370,1713,3567
England,West Midlands,persons,2023-11-01,57939,65550,66984,68768,71894,73916,76469,79257,78651,80503,82334,84632,84395,82278,81486,82624,80316,78160,77881,77268,75892,75678,79520,82340,84676,84944,87110,87664,87801,89339,91168,93988,95750,98012,96150,97187,95869,94148,93911,90675,90160,89408,87129,89981,85576,77942,75779,76811,77498,78927,80244,83622,88123,86987,87635,87284,86050,85573,85104,84108,81693,80190,77265,73387,70354,68364,65595,62913,59715,59317,59075,56454,55171,55100,56010,56501,60905,50456,44831,46582,42124,37271,30740,29521,28577,26323,23582,20773,17791,14712,12336,10607,8843,7085,5310,12447
England,Yorkshire and The Humber,female,2023-11-01,24247,27622,28202,29254,30672,31486,32868,33555,33945,33967,35097,36197,35489,35764,34944,35350,34052,33571,35815,36198,36189,35713,37688,39430,40969,39657,39761,39968,39725,40393,40932,42624,42633,43023,41544,43502,42391,41145,41049,39411,38838,37873,38116,38500,36526,33473,31602,32847,33082,34486,35258,37304,40203,38885,39601,39599,39018,39027,39042,39232,38382,37750,36204,34786,34206,32978,31989,30990,28804,28638,28281,27180,27198,27135,27475,28445,31903,25821,21476,22260,19464,17691,15119,15175,14533,13796,12256,11135,9590,8463,7037,5908,4934,4079,3017,7777
England,Yorkshire and The Humber,male,2023-11-01,25494,29024,29948,30683,31851,32963,34360,35776,35501,35723,36250,37592,37404,37547,36763,37105,35459,35188,35806,36300,35715,35571,36617,38394,40169,41086,42149,41748,42407,42521,43694,44359,44554,45151,43615,44452,43659,43238,43384,41811,41574,41095,40388,41163,39380,35996,34626,35522,35515,36251,37399,39048,41331,40560,40365,40972,40127,39921,39838,40385,38680,37990,36310,34963,33513,32605,31393,30123,27812,27583,27594,25393,25564,25177,25337,25806,28571,22645,18348,19455,16626,14566,11884,11515,10951,10032,8841,7609,6424,5118,4145,3248,2632,1899,1462,2809
England,Yorkshire and The Humber,persons,2023-11-01,49741,56608,58202,59955,62483,64412,67217,69305,69434,69702,71358,73787,72867,73310,71649,72475,69522,68789,71778,72381,71935,71263,74247,77819,81122,80716,81846,81725,82110,82883,84646,86969,87225,88178,85127,87949,86084,84414,84389,81223,80393,79017,78496,79681,75911,69403,66279,68408,68574,70691,72632,76333,81584,79482,79939,80584,79202,78978,78887,79603,77037,75727,72496,69769,67670,65527,63395,61136,56570,56219,55833,52535,52707,52321,52820,54353,60514,48503,39806,41695,36059,32269,27008,26656,25442,23820,21096,18758,16032,13571,11184,9157,7566,5981,4480,10584
England,East Midlands,female,2023-12-01,20941,23813,24524,24912,26230,26941,28044,29503,29748,29892,30367,31488,31414,31361,30710,30950,29914,29169,29900,30795,31456,30682,31627,32246,32717,32356,33114,33231,33231,34690,35221,36234,37362,37335,36848,36916,37022,36080,36230,34843,34915,33897,33950,34765,33154,30970,28826,30121,30116,32027,32269,34193,36353,34920,36532,36353,35781,35854,36012,36216,35128,34303,32905,31586,31268,29427,28642,27445,25893,26245,25870,25266,24882,24825,25759,26095,28982,24028,20162,21400,18988,16671,13845,13419,13112,12114,10978,9646,8641,7326,6219,5366,4410,3663,2867,7296
England,East Midlands,male,2023-12-01,21865,24696,25572,26509,27650,28552,29726,30778,31308,31501,31424,32962,33196,32641,32448,32973,31576,31098,31466,31855,32333,31858,32321,33160,33806,34654,35039,34721,35565,36261,36676,38695,38750,39128,38565,39187,37799,37248,37730,36444,36718,35501,35590,36829,34908,32162,31162,31727,31945,32907,33158,35252,37389,35997,36823,36676,36721,36119,36680,36217,35215,34387,33088,31646,30238,29108,27678,26754,25099,24743,24740,23454,23560,23031,23866,23175,26462,21728,18084,18636,16194,14302,11139,10837,10371,9133,7876,6794,5776,4645,3833,3195,2509,1830,1364,2652
England,East Midlands,persons,2023-12-01,42905,48495,50094,51377,53848,55455,57810,60194,61111,61265,61762,64482,64599,64058,63083,63816,61493,60256,61591,62737,63802,62509,63837,65348,66364,66993,68056,67891,68764,70864,72007,74850,75973,76399,75387,76006,74874,73536,74070,71294,71619,69442,69582,71648,68046,63043,60024,61905,62012,65045,65449,69438,73679,70924,73310,73162,72477,72138,72701,72407,70240,68635,65982,63326,61552,58490,56357,54346,51079,50911,50723,48734,48350,47984,49652,49310,55422,45908,38229,40111,35141,30981,24995,24191,23477,21284,18856,16448,14425,11958,10052,8562,6911,5494,4233,9967
England,East of England,female,2023-12-01,28824,32114,34020,34169,35605,36986,37827,39604,39854,39883,40316,42361,41488,41602,40970,41222,39974,38496,35836,34000,32862,32764,36542,38303,39535,40444,41446,42264,43453,45192,46179,47903,49112,50294,49903,51148,49983,49352,49182,47634,47638,46889,47333,48037,46152,42901,41067,41678,42024,42952,43225,44922,46264,45063,45759,46370,45941,46176,46332,46462,44216,43438,41147,40573,38843,37786,36127,35287,33936,33729,33464,32186,31854,31864,33453,33250,39390,33500,26650,27895,24742,22668,18050,18235,18107,16692,15114,13809,12192,10421,9001,7882,6843,5440,4424,11078
England,East of England,male,2023-12-01,30004,33632,35998,36175,37783,38808,40432,41281,41704,42259,42292,44017,44301,43601,42497,43410,42220,40938,38927,37663,35573,35566,37701,39034,40593,42634,43927,43521,44686,46033,46943,49029,49684,51154,50344,52061,51321,50371,50629,48808,49258,48415,49213,50177,48755,44918,43699,44768,43639,45365,45199,46422,48323,46233,47530,47055,46509,46911,47184,46264,44705,43656,41683,39673,38427,37177,35403,33747,31577,30917,30608,29172,29215,28964,29639,30204,34601,28764,23292,24383,20780,19104,14321,14104,13833,12858,11333,9744,8371,6890,5699,4661,3683,2907,2065,4128
England,East of England,persons,2023-12-01,58734,65787,70113,70264,73370,75848,78272,80889,81604,82200,82580,86351,85771,85122,83413,84613,82225,79433,74806,71705,68083,68324,74256,77352,80254,83186,85462,85832,88131,91010,93298,96819,98797,101426,100269,103188,101353,99705,99818,96458,96923,95336,96523,98244,95087,87815,84764,86539,85586,88412,88419,91366,94593,91307,93192,93416,92456,93028,93313,92829,88837,87081,83057,80301,77294,74942,71575,68745,65659,64685,63884,61495,61349,60849,63151,63440,74017,62494,49955,52207,45525,41802,32403,32393,32005,29567,26471,23606,20554,17344,14693,12534,10518,8376,6528,15198
England,London,female,2023-12-01,46302,50807,52770,53253,54112,55203,57058,58693,58214,57682,59135,60683,60340,59677,59831,60858,58334,56845,54845,57772,60251,64358,75003,89565,99516,102987,106855,109252,109675,108349,108778,110386,107083,108155,105371,104978,99199,96644,95080,90593,87723,86256,83913,83469,79914,74483,71114,69400,67561,66729,63666,64272,62442,63250,61533,61981,59533,59035,58206,56578,54989,52124,48519,48152,44860,42236,40203,38396,36202,34693,32891,32163,29872,29706,29321,28708,30215,26697,22425,22133,20168,19206,15809,16223,15610,14600,12902,11579,10417,8695,7505,6603,5492,4687,3537,9891
England,London,male,2023-12-01,48730,53523,54910,55001,56672,57817,59080,60752,61266,60511,61183,63591,63001,63630,61981,62547,61841,59332,57367,58428,59941,61649,68273,76744,83785,92312,97887,101777,104573,106327,107781,110537,111827,114534,113927,113901,110780,108822,108291,103724,103006,101168,98577,98409,94381,88661,84077,82297,80026,78313,74969,74092,72266,71773,68311,68502,64997,62543,61785,60433,57928,53556,49879,49276,44925,42512,39220,37264,34060,31903,29482,28271,26585,25890,25001,24064,25763,21963,17675,17840,15583,14302,11552,11971,11469,10265,8916,7875,6612,5541,4704,3886,3077,2416,1779,3823
England,London,persons,2023-12-01,95087,104053,107697,108299,110787,113059,116131,119392,119437,117930,120106,124300,123437,123296,121869,123375,120186,116159,112117,116295,120241,125980,143337,166251,183294,195291,204669,211076,214288,214860,216517,220959,218894,222530,219261,218845,209965,205297,203326,194405,190829,187396,182501,181954,174299,163108,155161,151465,147462,145146,138445,138329,134577,134947,129845,130455,124529,122094,119999,116950,112986,105826,98412,97683,89893,84686,79454,75636,70292,66582,62287,60402,56465,55421,54364,52897,55863,48726,40135,39973,35713,33467,27322,28260,27148,24936,21800,19455,17034,14258,12203,10498,8578,7130,5304,13728
England,North East,female,2023-12-01,10932,12425,12830,12878,13680,14089,14533,15264,15011,15314,15379,16344,16198,16087,15652,16215,15537,15707,16898,17377,17529,17336,17327,18122,18325,17759,18438,18460,18450,18252,19029,19604,19527,19731,19079,19695,19513,19286,19257,18422,18004,17939,18094,18173,17484,15975,14554,15804,15459,16099,16499,17771,19532,18622,18803,18995,19543,19681,20179,20059,20135,19863,19181,18393,18365,18323,17395,16638,15638,15227,15293,14505,14523,14161,14443,14595,16207,13525,10962,11149,9586,8693,7601,7884,7379,7098,6491,5476,4987,4210,3477,3142,2463,2099,1466,3608
England,North East,male,2023-12-01,11644,13128,13470,13502,14474,14843,15229,16132,16103,16176,16676,17151,17132,17077,16557,16755,16250,16212,17241,17164,17534,17030,17421,17975,18526,19522,20019,20112,20219,20060,20491,21337,21348,21504,20510,21153,20981,20422,20492,19346,19290,18845,18660,18818,18793,16906,15296,15940,16437,16819,17084,18325,19904,18895,18948,19280,19215,19663,20115,20086,19630,19714,18650,18083,17984,17233,16956,16295,14858,14844,14662,13697,13403,13087,13270,13265,14748,11916,9541,9766,7978,7069,5986,5850,5561,5034,4355,3746,3108,2581,2057,1736,1238,1018,707,1337
England,North East,persons,2023-12-01,22669,25484,26335,26384,28178,28929,29731,31365,31156,31428,31993,33480,33388,33141,32214,32958,31801,31943,34177,34585,35111,34396,34711,36016,36827,37263,38451,38529,38682,38304,39505,40880,40921,41224,39524,40857,40481,39716,39834,37669,37299,36816,36729,36986,36296,32854,29899,31720,31953,32964,33624,36106,39387,37508,37760,38315,38729,39306,40372,40148,39731,39555,37874,36491,36300,35639,34347,32978,30529,30191,29968,28191,27884,27320,27642,27883,31005,25401,20535,20895,17557,15733,13613,13728,12924,12128,10824,9290,8096,6780,5475,4880,3625,3174,2172,4945
England,North West,female,2023-12-01,33209,38211,39896,39838,42372,42998,44527,46765,46566,47194,48116,49355,49293,48547,47995,48057,46536,46068,46233,47327,47162,47039,49161,52179,53592,53852,54304,54996,55114,55398,56700,58671,58983,60022,58457,60105,58895,57104,57669,55373,55127,54237,52594,53740,50949,46612,44557,44956,45812,47258,47616,50824,53991,52572,53462,53483,52753,53056,54239,54050,53085,52186,50354,47891,46370,44576,43327,41851,39204,38207,38149,36518,36536,36543,36913,37176,42661,33960,28676,29326,26770,24286,20612,20312,19561,17941,16449,14555,12492,10642,8860,7672,6524,5123,3942,9856
England,North West,male,2023-12-01,35414,40303,41392,41847,44264,45199,47042,49119,49301,49544,50104,51887,51433,51296,50469,50968,49584,49043,48256,48123,47792,47190,48804,50739,52893,55390,56819,55943,57165,58030,58901,60659,62175,63087,60885,61705,61593,59828,60766,58411,58449,57328,56554,57103,55490,49903,47881,48954,49924,50695,51160,53834,57091,55549,56033,55717,55125,54978,55524,56301,54284,53026,50911,48893,46411,44317,43165,40700,37719,36999,37066,34723,34120,33866,34284,34203,38649,29914,24797,25412,22542,19761,16326,15465,14663,13240,11519,9771,8282,6492,5100,4319,3376,2519,1706,3621
England,North West,persons,2023-12-01,68710,78560,81356,81650,86686,88194,91624,95870,95877,96699,98232,101253,100686,99817,98673,98975,96140,94983,94571,95502,94954,94205,98157,102940,106418,109072,111066,111075,112214,113420,115664,119328,121192,123243,119367,121707,120490,116638,118377,113770,113572,111625,109127,110870,106379,96250,92566,93987,95727,98007,98770,104651,111027,108196,109375,109219,107927,107973,109796,110356,107458,105237,101318,96810,92766,88953,86454,82602,76824,75106,75608,71600,70462,70415,71267,71454,81184,63912,53487,54731,49361,44034,36896,35698,34313,31185,27999,24322,20782,17222,13942,11954,9900,7647,5649,13483
England,South East,female,2023-12-01,40203,45603,48400,48770,50527,52768,53891,56809,57303,57654,58481,61556,61365,61656,60305,61104,60051,58051,55113,53169,52397,51585,55695,59258,61908,59668,61141,60826,61946,63398,65326,68917,70005,72758,71475,73660,72209,71378,71612,69607,70219,69881,70029,71561,69140,64495,62004,62712,62742,64622,64662,66767,69333,66744,67345,68764,68128,67808,67932,67887,66167,63843,61258,59311,57116,55504,53456,50982,48914,48599,48317,46310,46551,46453,48705,49411,56136,48364,39454,40479,36921,33475,26481,26947,26869,24937,22363,20144,17769,15815,13396,12074,10104,8556,6618,17299
